Ejercicio,Estado,Patrón,Tipo,Implementación principal,Músculos primarios trabajados,Músculos secundarios trabajados,Plano,Explicación del ejercicio,URL de YouTube
Supinated Barbell Bent Over Row,hecho,Jalón,Carga externa,Banda,"Dorsal ancho, bíceps Romboides, trapecio Sagital frente al cuerpo","codos extendidos, frente a la cadera, sujetando una manohttps://www.youtube.com/watch?v=urPZtLMy8so atada al rack aproximadamente a la altura del pecho, en un agarre en supinación. El movimiento inicia El remo inclinado con barra en supinación comienza de pie, con los pies debajo de las caderas, el peso en el talón hasta la parte media del pie, sujetando una barra Remo inclinado con barra en supinación regrabar Jalón Carga externa Barra Dorsal ancho, bíceps, Isquiotibiales Escápulas, erectores espinales",Sagital,"Espalda recta y los brazos largos, y guiando la barra hasta la parte superior de las rodillas",https://www.youtube.com/watch?v=8ajG0DGCoLU
Empuje de tríceps en polea con agarre supino,hecho,Empujar,Carga externa,Cable,Tríceps Bíceps,Biceps,Sagital,"Grados, delante de la cadera, sujetando la fijación de barra recta hacia adentro y agarre en pronación. El m Supinado ,",https://www.youtube.com/watch?v=tndXsXjc3mQ
Supinado Pecho a Barra,re-film,Jalar,Peso corporal,Barra de dominadas,"Bíceps, Latísimo Dorsi Escápulas, Rect",o Abdominis,Sagital,"Barra de subida, recibiendo la barra en un agarre en pronación, brazos extendidos, y",https://www.youtube.com/watch?v=X79fhGl9bn0
Luego flexionando,hecho,Jalar,Peso corporal,Barra de dominadas,"Bíceps, Latíssimo Dorsi Escápulas, Recto Abdominis",,Sagital,"Barra de dominadas, recibiendo la barra en un agarre en pronación, brazos extendidos, y piernas rectas.",https://www.youtube.com/watch?v=Q-ZZ8x
Sostén Supinado de Mentón sobre Anillo,hecho,Jalar,Peso corporal,Anillas,"Trapecio, Bíceps Recto Abdominis",Rectus Abdominus,Sagital,"Saltando hacia las anillas, recibiendo las anillas en un agarre neutro, brazos extendidos, y piernas rectas. El",https://www.youtube.com/watch?v=FmqbqFenntg
Sostén Supinado de Mentón sobre Plano Vertical,re-film,Jalar,Peso corporal,Barra de dominadas,"Bíceps, Latísimo Dorsi Escápulas, Rect",o Abdominis,Sagital,"Inicia saltando hacia el mencionado plano vertical, recibiendo en un",https://www.youtube.com/watch?v=jBbgioY1O1A
Sostén de Mentón Supinado sobre Plano Vertical en Tuck,hecho,Jalar,Peso corporal,Barra de dominadas,"Bíceps, Latísimo Dorsi Escápulas, Recto Abdominis",,Sagital,"ELUg plano, recibiendo en un agarre de pronación, brazos extendidos y piernas rectos. Luego flexionando",https://www.youtube.com/watch?v=D5drhq
Supinated Dumbbell Bench Press,hecho,Empujar,Carga externa,Mancuerna,"Pectorales, Deltoides anteriores, Tríceps Bíceps",Biceps,Sagital,Poco por encima del hombro con un agarre supinado (la muñeca mirando hacia dentro).,https://www.youtube.com/watch?v=Es1Urxbpr0M
Sujeción de fila invertida supinada,hecho,Jalar,Peso corporal,Barra,"Latissimus Dorsi, Glúteo Máximo, Deltoides posteriores Recto Abdominis,",Bíceps,Sagital,"Extensión para la barra, con las manos justo fuera de los hombros",https://www.youtube.com/watch?v=6pgCGmdZN5Y
El mo,hecho,Jalar,Peso corporal,Barra de dominadas,"Latissimus Dorsi, Recto Bíceps, Tríceps Abdominis,",Flexores de cadera,Frontal,"Saltar y elevar el mentón sobre la barra (o plano vertical), flexionando en la cintura y",https://www.youtube.com/watch?v=wHRALwvcrls
Dominadas Sujeción L supinadas con mentón sobre plano vertical,hecho,Jalar,Peso corporal,Barra de dominadas,"Latissimus Dorsi, Recto Abdominis, Flexores de cadera Bíceps, Tríceps",,Frontal,"ZnfE y elevar el mentón sobre la barra (o plano vertical), flexionando en la cintura y r",https://www.youtube.com/watch?v=UkCSUd
Dominada L supinada negativa,hecho,Jalar,Peso corporal,Barra de dominadas,"Latissimus Dorsi, Recto Bíceps, Tríceps Abdominis,",Flexores de cadera,Frontal,"Mentón sobre la barra (o plano vertical), flexionando la cintura y elevando las piernas a la",https://www.youtube.com/watch?v=bqCjl5c2frw
Domino de L Supinada,re-film,Jalar,Peso corporal,Barra de dominadas,"Bíceps, dorsal ancho Escápulas,",Recto abdominal,Frontal,"Agarre en pronación, con los brazos extendidos y ambas piernas rectas. Luego flexionando en t",https://www.youtube.com/watch?v=uwabVEF5QEs
Supinated Lat Pulldown,hecho,Jalar,Carga externa,Cable,"Dorsal ancho, Bíceps Romboides",Rhomboids,Sagital,"Agarre en pronación, en la configuración alta.",https://www.youtube.com/watch?v=zKgHppdVnZM
Supinated Narrow Grip Hang From Bar,re-film,Jalar,Estabilidad,Barra de dominadas,"Dorsal ancho Escápulas, Braquiorradia","l Palmar Largo,",Sagital,Para el dominio de tiempo prescrito.,https://www.youtube.com/watch?v=XheGJkKETJ8
Dominada con agarre estrecho supinado,re-film,Jalar,Peso corporal,Barra de dominadas,"Bíceps, Dorsal ancho Escápulas, Palma","r Largo, Recto Bra abdominal,",Sagital,"Hombros, flexionando los codos, tirando hacia abajo de la barra de dominadas, y tirando el chi",https://www.youtube.com/watch?v=dN5DqMhO18s
Colgado pasivo supinado,re-film,Jalar,Estabilidad,Barra de dominadas,"Dorsal ancho Palmar Largo,",Braquiorradial,Sagital,Dominio de tiempo prescrito.,https://www.youtube.com/watch?v=PP-pktbKDjI
Dominadas supinadas,hecho,Jalar,Peso corporal,barra de dominadas,"Bíceps, Latísimo Dorsi Deltoides,",Transverso del abdomen,Sagital,"Flexionando los codos, tirando hacia abajo de la barra de dominadas, levantando la barbilla sobre t",https://www.youtube.com/watch?v=6Jb1J3eqxqc
Negativa de dominada supinada,hecho,Jalar,Peso corporal,barra de dominadas,"Latísimo Dorsi, Bíceps Romboides, escapulas",,Sagital,"TnEZQ apretando los bíceps en la parte superior de la dominada, estabilizando y sosteniendo por la prescri",https://www.youtube.com/watch?v=bib
Dominada supinada en anillos,hecho,Jalar,Peso corporal,Anillos,"Latísimo Dorsi, Bíceps Braquial,",Romboides,Sagital,"Recto. El movimiento se inicia saltando y levantando la barbilla hacia la barra en entre y sobre la r La fila supinada en anillos comienza sentado en el suelo debajo de un par de anillos de gimnasia bajos, con las piernas rectas y los brazos extendiéndose hacia dentro Remo en anillos supinado",https://www.youtube.com/watch?v=XxQaiPb2qfs
Remo en anillos supinado,re-film,Jalar,Peso corporal,Anillos,"Bíceps, Latísimo Dorsi Escapulares, Longus, Braquiorradial Isquiotibiales, Palmaris",,Sagital,"JmmRaigY las rodillas rectas y colgando con los brazos largos, debajo de los anillos, pa",https://www.youtube.com/watch?v=yX
Remo con cable de un solo brazo en posición sentada,hecho,Jalar,Carga externa,Cable,"Latísimo Dorsi, Bíceps Romboides",Rhomboids,Sagital,"Agarre en supinación, con el brazo extendido frente al cuerpo.",https://www.youtube.com/watch?v=zyJHTED1xZo
Remo con cable de un solo brazo supinado,hecho,Tirar,Carga externa,Cable,"Latissimus Dorsi, Bíceps Romboides",Rhomboids,Sagital,"Agarre en pronación, con el brazo extendido frente al cuerpo.",https://www.youtube.com/watch?v=8vpFqzimLyg
El Bajada de una pierna en posición supina,hecho,Una pierna,Estabilidad,Ninguno,"Flexores de la cadera, Recto abdominal Glúteos,",Isquiotibiales,Sagital,"Aproximadamente 90 grados o perpendicular con las caderas, manteniendo el las rodillas extendidas. Luego alternando o Ejercicio Estado Patrón Tipo Implemento principal Músculos principales trabajados Músculos secundarios trabajados Plano Explicación del ejercicio URL de YouTube",https://www.youtube.com/watch?v=CNt8PrpR79M
T Bar Row,re-film,Jalar,Carga externa,Máquina,"Latísimo Dorsi, Bíceps Erectores de la columna,",Redondo mayor,Sagital,"Barra en T hacia la caja torácica, manteniendo los codos altos y ajustados a un lado, luego extendiendo el codo",https://www.youtube.com/watch?v=AgxCPp37waQ
Push Up en T,hecho,Empujar,Peso corporal,Ninguno,"Tríceps, Deltoides posteriores, Trapecio Recto Abdominis","externo Oblicuos ambos brazos extendidos, debajo del pecho, con las palmas en la Transverso suelo, piernas rectas y columna neutral. El movimiento inicia al",,"Sacando una mano del piso, alcanzando alto y amplio y",https://www.youtube.com/watch?v=NW86tPhCWTc
Levantamiento de banda en rodillas altas,hecho,Núcleo,Carga externa,Banda,"Transverso Serrato del abdomen, Oblicuos, Deltoides anteriores","Bíceps debajo de las caderas, flexionadas a 90 grados, con las caderas extendidas y Transverso columna, vertical) junto a un soporte con una banda unida en una configuración baja,",,"Con brazos largos y ambas manos sujetando la banda en agarre neutro,",https://www.youtube.com/watch?v=SP6DoszGLQo
Press detrás del cuello en rodillas altas,hecho,Empujar,Carga externa,Barra,"Deltoides Romboides anteriores, Tríceps, Trapecio, Abdominale","s Serrato, Recto",Frontal,"Ambas manos sujetando la barra por fuera de los hombros, con un",https://www.youtube.com/watch?v=fPcWTocTvDI
Tall Kneeling Dumbbell Push Press,realizado,Empuje,Carga externa,Mancuerna,"Glúteos, Tríceps, Deltoides Anteriores","Recto Abdominal, Isquiotibiales Sagital extendidos y columna vertebral vertical) con un par de mancuernas en la posición de soporte",Frontal,"Posición, con un agarre neutro.",https://www.youtube.com/watch?v=ysZ8hzQEo6E
Filly Press en Rodillas Altas,realizado,Empuje,Carga externa,Kettlebell,"Deltoides Anteriores Glúteos, Recto Abdominal Frontal columna vertebral vertical), sosteniendo una mancuerna en la posición de soporte",,Frontal,"Acw lado con un agarre supinado (muñeca hacia adentro), y una kettlebell en la posición de soporte frontal",https://www.youtube.com/watch?v=yenEUut
Curl de Cuerno con Kettlebell en Rodillas Altas,realizado,Jalón,Carga externa,Kettlebell,"Bíceps, Deltoides Anteriores Tríceps, Pectorales",", Recto Abdominal",Sagital,"Por los cuernos con un agarre neutro y brazos extendidos, frente a las caderas.",https://www.youtube.com/watch?v=dy9clsmIO34
Landmine Press en Rodillas Altas,realizado,Empuje,Carga externa,Barra Landmine,"Deltoides Serrato Anteriores, Tríceps, Recto Abdominal,",Glúteos,Sagital,"Manguito, sosteniendo la cabeza de la barra frente al pecho con ambas",https://www.youtube.com/watch?v=zUUQenp3Lk8
Pallof Press en Rodillas Altas,realizado,Empuje,Carga externa,Banda,"Deltoides Anteriores, Pectorales, Tríceps Abdominal Transverso,",Glúteos,Sagital,"Banda de simetría, o cable conectado, ambas manos sujetando el cable agarradera con un agarre neutro, con los codos",https://www.youtube.com/watch?v=XfshkjWTDQE
Press de Empuje en Rodillas Altas,hecho,Empuje,Carga externa,Barra,"Glúteos, Tríceps, Deltoides Anteriores","Recto Abdominal, Isquiotibiales Sagital columna vertical), con una barra en la posición de rack",Frontal,Fuera de los hombros con un agarre prono.,https://www.youtube.com/watch?v=TmJ5OvnOcA8
Half Kneeling Single Arm Dumbbell Press,hecho,Empuje,Carga externa,Mancuerna,"Deltoides Anteriores, Tríceps Recto Glúteos Abdominal, Flexores d","e Cadera,",Sagital,"Otro cargado con una mancuerna en la posición de rack frontal, con un",https://www.youtube.com/watch?v=dvbutfYH2JU
Remo con Kettlebell a Tres Apoyos,hecho,Jalar,Carga externa,Kettlebell,"Dorsal Ancho, Bíceps Erectores Espinales, Glúteos",", Isquiotibiales",Sagital,"Mano sujetando una kettlebell con agarre neutro, con el codo recto, alineado debajo del homb",https://www.youtube.com/watch?v=wQC4xIxyb-o
Elevación de Tibial,hecho,Jalar,Peso corporal,Caja Pliométrica,Tibial Anterior Cuádriceps,Quadriceps,Sagital,"Dedos de los pies al suelo, alargando y elevando el tibial (parte de la pantorrilla",https://www.youtube.com/watch?v=nn0avIe473A
Toes to Bar,re-film,Núcleo,Peso corporal,Barra de dominadas,"Dorsal Ancho, Recto Cuádriceps Abdomen, flexores de la cadera",Quadriceps,Sagital,"Barra con los brazos extendidos, metiendo las costillas hacia la pelvis y los dedos de los pies hacia adentro adelanto de",https://www.youtube.com/watch?v=TqvyzFu7B9Q
Fila alterna con mancuerna de arriba hacia abajo realizada,,Jalar,Carga externa,Mancuerna,"Dorsal ancho, Bíceps Erectores de la columna,",Glúteos,Sagital,Alcanzando el piso.,https://www.youtube.com/watch?v=efHqVJ1FewU
Peso Muerto Rumano con Barra de arriba hacia abajo vuelve a filmar,,Doblar,Carga externa,Barra,"Erector de la Espina, Glúteos, Isquiotibiales Trapezio, Latísim",o Dorsi,Sagital,"Agarrar, justo fuera de los hombros.",https://www.youtube.com/watch?v=85oqdXbfjVc
Peso Muerto con Barra de Trampa volverse a filmar,,Doblar,Carga externa,Barra de Trampa,"Isquiotibiales, Erector de la Espina, Glúteos Cuádriceps, Latísim",o Dorsi,Sagital,Las rodillas flexionadas y una columna neutra.,https://www.youtube.com/watch?v=lcaWjAw75vw
Trap Bar Farmers Walk,hecho,Locomoción,Carga externa,Barra de Trampa,"Trapecio, Cuádriceps Recto Abdominis, Glúteos, Oblicuos",", Braquiorradial",Sagital,Agarre neutro y las escápulas hacia atrás y hacia abajo. El movimiento inicia al caminar un pie hacia adentro,https://www.youtube.com/watch?v=eVCwgklgFG8
Remo con Barra de Trampa,hecho,Jalar,Carga externa,Barra de Trampa,"Latísimo Dorsi, Bíceps Glúteos, Erector de l","a Espina, Isquiotibiales",Sagital,"Movimiento se inicia flexionando la cadera, con flexión suave en el rodilla, manteniendo la espalda fl El Trap Bar Shrug empieza de pie alto con los pies debajo de las caderas, peso en la mitad del pie hacia los talones, de pie dentro de la barra de trampa, con ambos Shrug con Barra de Trampa",https://www.youtube.com/watch?v=XOKsr0bpYZg
Shrug con Barra de Trampa,hecho,Jalar,Carga externa,Barra de Trampa,"Trapecio Braquiorradial,",Romboides,Frontal,"Movimiento comienza encogiendo los hombros hacia arriba y hacia atrás, apretando los trapecios, y el Aumento del Trap 3 comienza de pie alto con los pies debajo de las caderas, peso en la mitad del pie hasta los talones y ambos brazos hacia abajo a los lados Aumento de Trap-3",https://www.youtube.com/watch?v=vEpnOixbilA
Aumento de Trap-3,re-film,Jalar,Carga externa,Disco,"Escápulas, Deltoides dorsal ancho, trasero Isquiotibiales",,Sagital,"LmYhc la espalda plana y levantando los discos alto, paralelos al hombro, con brazos rectos, en",https://www.youtube.com/watch?v=sh-tM
Tuck Hang,re-film,Núcleo,Peso corporal,Barra de dominadas,"flexores de cadera, recto abdominal, Escápulas, Palmari","s Longus, Dorso ancho Braquirradial",Sagital,"Cuchillas, metiendo las rodillas al pecho y manteniendo el tiempo prescrito",https://www.youtube.com/watch?v=XWIXu6EJzd0
Turkish Get-Up,re-film,Complejo,Carga externa,Kettlebell,"Deltoides anteriores, Tríceps, Trapecio Cuádriceps,","Abdominales glúteos, recto",Múltiple,Apilados horizontalmente al cuerpo.,https://www.youtube.com/watch?v=ixEdyKBR6zY
Turkish Get-Up con Holds y Presses,re-film,Complejo,Carga externa,Kettlebell,"Deltoides, Tríceps, anteriores, Pectoral mayor","Pec menor, Cuádriceps, Cadera Trapecio Flexores",Múltiple,Mismo brazo que la rodilla flexionada sosteniendo una kettlebell extendida sobre el,https://www.youtube.com/watch?v=5CyzlZYWR3g
Fila con kettlebell única blanco etiqueta,,Jalar,Carga externa,Pesas rusas,"Latísimos del dorsal, Bíceps Erector de la columna, Glúteos",", Isquiotibiales",Sagital,"Movimiento se inicia al flexionar las caderas con una ligera flexión de la rodilla,",https://www.youtube.com/watch?v=fo-JbxrvwCM
JbxrvwCM el movimiento,,Flexionar,Peso corporal,Ninguno,"Glúteos, Deltoides anterior, Erector Pectorales, Tríceps",", Cuádriceps",Múltiple,Espina dorsal /,https://www.youtube.com/watch?v=eaDsGSqdP2Y
Salto vertical,re-film,Doblar,Explosividad,Ninguno,"Cuádriceps, Glúteos, Isquiotibiales Gastrocnemio",Gastrocnemius,Sagital,Aterriza suavemente en el suelo con un poco de flexión de las rodillas para absorb th,https://www.youtube.com/watch?v=UH-3LUWzBpU
Salto vertical,re-film,Doblar,Explosividad,Ninguno,"Cuádriceps, Glúteos, Isquiotibiales Gastrocnemio Sagital cargando para impulsarte resorte","luego lo más salta alto recto posible, hacia arriba o tan llevando alto como los brazos sea por seguro encima para de la ti, cabeza luego https://www.youtube.com/watch?v=UH-3LUWzBpU aterriza suavemente en el suelo con un poco de flexión de las rodillas para absorb th Waiters Bow empieza en una posición de pie alta, con las manos detrás de Waiters Bow blanco etiqueta Doblar Peso corporal Ninguno Erector Spinae, Glúteos, Isquiotibiales Deltoides anteriores la parte baja de la espalda, nudillos mirando hacia el cuerpo. Para iniciar el",Sagital,"Parte superior del cuerpo hacia adelante, bajando a aproximadamente paralela al suelo, o",https://www.youtube.com/watch?v=dedQnxfE7Ks
